source_id,target_id,weight,layer
21,45,1.0,1
21,46,1.0,1
21,54,1.0,1
21,57,1.0,1
21,58,1.0,1
21,60,1.0,1
21,62,1.0,1
21,63,1.0,1
21,64,1.0,1
21,65,1.0,1
21,66,1.0,1
21,67,1.0,1
21,68,1.0,1
21,69,1.0,1
21,70,1.0,1
21,71,1.0,1
21,74,1.0,1
21,75,1.0,1
21,76,1.0,1
21,77,1.0,1
21,78,1.0,1
21,82,1.0,1
21,83,1.0,1
21,89,1.0,1
21,90,1.0,1
21,91,1.0,1
21,103,1.0,1
21,104,1.0,1
21,105,1.0,1
21,106,1.0,1
21,108,1.0,1
21,109,1.0,1
21,110,1.0,1
21,111,1.0,1
21,112,1.0,1
21,147,1.0,1
21,149,1.0,1
21,150,1.0,1
21,152,1.0,1
21,160,1.0,1
22,35,1.0,1
22,36,1.0,1
22,37,1.0,1
22,45,1.0,1
22,46,1.0,1
22,54,1.0,1
22,60,1.0,1
22,62,1.0,1
22,63,1.0,1
22,64,1.0,1
22,65,1.0,1
22,66,1.0,1
22,67,1.0,1
22,68,1.0,1
22,69,1.0,1
22,70,1.0,1
22,71,1.0,1
22,75,1.0,1
22,76,1.0,1
22,77,1.0,1
22,78,1.0,1
22,82,1.0,1
22,83,1.0,1
22,89,1.0,1
22,90,1.0,1
22,91,1.0,1
22,103,1.0,1
22,104,1.0,1
22,105,1.0,1
22,108,1.0,1
22,110,1.0,1
22,111,1.0,1
22,112,1.0,1
22,147,1.0,1
22,151,1.0,1
22,152,1.0,1
22,160,1.0,1
23,24,1.0,1
23,25,1.0,1
23,26,1.0,1
23,31,1.0,1
23,32,1.0,1
23,34,1.0,1
23,37,1.0,1
23,38,1.0,1
23,39,1.0,1
23,40,1.0,1
23,42,1.0,1
23,44,1.0,1
23,46,1.0,1
23,56,1.0,1
23,57,1.0,1
23,72,1.0,1
23,74,1.0,1
23,86,1.0,1
23,126,1.0,1
23,127,1.0,1
23,139,1.0,1
23,140,1.0,1
23,141,1.0,1
23,142,1.0,1
23,150,1.0,1
24,25,1.0,1
24,26,1.0,1
24,32,1.0,1
24,37,1.0,1
24,38,1.0,1
24,39,1.0,1
24,40,1.0,1
24,55,1.0,1
24,56,1.0,1
24,73,1.0,1
24,74,1.0,1
24,75,1.0,1
24,76,1.0,1
24,88,1.0,1
24,89,1.0,1
24,139,1.0,1
24,140,1.0,1
24,141,1.0,1
24,142,1.0,1
25,26,1.0,1
25,31,1.0,1
25,32,1.0,1
25,33,1.0,1
25,34,1.0,1
25,37,1.0,1
25,39,1.0,1
25,40,1.0,1
25,75,1.0,1
25,85,1.0,1
25,86,1.0,1
25,87,1.0,1
25,114,1.0,1
25,116,1.0,1
25,139,1.0,1
25,140,1.0,1
25,141,1.0,1
25,142,1.0,1
25,159,1.0,1
26,31,1.0,1
26,33,1.0,1
26,37,1.0,1
26,39,1.0,1
26,40,1.0,1
26,57,1.0,1
26,73,1.0,1
26,75,1.0,1
26,85,1.0,1
26,86,1.0,1
26,87,1.0,1
26,114,1.0,1
26,116,1.0,1
26,139,1.0,1
26,141,1.0,1
27,28,1.0,1
27,29,1.0,1
27,30,1.0,1
27,36,1.0,1
27,38,1.0,1
27,41,1.0,1
27,42,1.0,1
27,43,1.0,1
27,44,1.0,1
27,45,1.0,1
27,46,1.0,1
27,49,1.0,1
27,50,1.0,1
27,51,1.0,1
27,52,1.0,1
27,54,1.0,1
27,56,1.0,1
27,58,1.0,1
27,64,1.0,1
27,71,1.0,1
27,72,1.0,1
27,74,1.0,1
27,82,1.0,1
27,83,1.0,1
27,93,1.0,1
27,110,1.0,1
27,111,1.0,1
27,115,1.0,1
27,118,1.0,1
27,119,1.0,1
27,129,1.0,1
27,135,1.0,1
27,150,1.0,1
28,29,1.0,1
28,30,1.0,1
28,41,1.0,1
28,42,1.0,1
28,43,1.0,1
28,44,1.0,1
28,49,1.0,1
28,51,1.0,1
28,52,1.0,1
28,71,1.0,1
28,72,1.0,1
28,115,1.0,1
28,118,1.0,1
28,119,1.0,1
28,134,1.0,1
28,135,1.0,1
29,30,1.0,1
29,35,1.0,1
29,36,1.0,1
29,38,1.0,1
29,40,1.0,1
29,41,1.0,1
29,42,1.0,1
29,43,1.0,1
29,44,1.0,1
29,45,1.0,1
29,46,1.0,1
29,47,1.0,1
29,48,1.0,1
29,49,1.0,1
29,50,1.0,1
29,51,1.0,1
29,52,1.0,1
29,54,1.0,1
29,55,1.0,1
29,56,1.0,1
29,57,1.0,1
29,58,1.0,1
29,59,1.0,1
29,64,1.0,1
29,65,1.0,1
29,66,1.0,1
29,70,1.0,1
29,71,1.0,1
29,72,1.0,1
29,73,1.0,1
29,74,1.0,1
29,77,1.0,1
29,82,1.0,1
29,83,1.0,1
29,104,1.0,1
29,105,1.0,1
29,110,1.0,1
29,111,1.0,1
29,112,1.0,1
29,113,1.0,1
29,114,1.0,1
29,115,1.0,1
29,116,1.0,1
29,117,1.0,1
29,118,1.0,1
29,119,1.0,1
29,135,1.0,1
29,151,1.0,1
30,36,1.0,1
30,38,1.0,1
30,40,1.0,1
30,41,1.0,1
